2012.26   -2663.42      23.08
2012.46   -2692.16      21.13
2012.54   -2922.14      20.10
2012.62   -3233.19      20.02
2012.70   -3333.87      22.37
2012.88   -3268.61      22.92
2012.96   -3254.19      20.87
2013.04   -3251.31      20.39
2013.12   -3242.85      22.08
2013.30   -3240.89      22.79
2013.37   -3202.99      20.22
2013.46   -3186.15      20.76
2013.54   -3298.25      20.22
2013.79   -3361.16      20.13
2013.87   -3360.18      19.50
2013.96   -3349.18      19.17
2014.02   -3335.43      22.93
2014.20   -3281.62      17.07
2014.29   -3270.75      17.46
2014.37   -3270.06      17.76
2014.45   -3308.92      19.27
2014.62   -3589.56      18.08
2014.71   -3628.79      17.47
2014.79   -3613.78      16.66
2014.88   -3611.13      16.71
2015.06   -3525.06      19.55
2015.12   -3532.01      33.53
2015.20   -3486.22      15.05
2015.29   -3478.02      15.84
2015.32   -3473.72      16.95
2015.53   -3658.44      18.02
2015.62   -3792.39      17.47
2015.70   -3830.52      19.26
2015.98   -3776.21      20.01
2016.04   -3718.70      18.43
2016.12   -3741.88      17.34
2016.21   -3742.00      17.48
2016.38   -3710.57      18.71
2016.46   -3705.13      17.74
2016.54   -3879.43      18.46
2016.64   -4129.66      21.23
2016.91   -4010.62      41.30
2016.98   -4075.24      41.14
2017.06   -4022.06      41.13
2017.25   -4012.35      40.96
2017.31   -3978.27      40.28
2017.36   -3970.09      39.47
2017.44   -4001.82      39.04
2018.45   -4042.11      19.69
2018.52   -4070.81      18.74
2018.83   -4260.65      18.31
2018.87   -4226.16      16.68
2018.96   -4201.77      16.15
2019.04   -4206.34      15.93
2019.12   -4241.69      16.16
2019.20   -4255.88      15.87
2019.29   -4239.89      15.74
2019.37   -4195.61      15.79
2019.45   -4269.82      15.85
2019.54   -4462.12      15.72
2019.62   -4707.90      15.80
2019.71   -4815.03      15.88
2019.79   -4807.49      15.68
2019.87   -4737.48      15.73
2019.96   -4735.92      15.83
2020.04   -4793.83      15.95
2020.12   -4785.53      16.02
2020.21   -4787.24      15.84
2020.29   -4755.89      15.75
2020.37   -4730.84      15.72
2020.46   -4769.40      15.85
2020.54   -4902.60      15.72
2020.62   -4999.09      15.71
2020.71   -5014.50      15.85
2020.79   -4948.36      15.76
2020.87   -4936.22      15.84
2020.96   -4941.87      15.85
2021.04   -4914.78      15.73
2021.12   -4941.08      15.77
2021.20   -4921.73      15.80
2021.29   -4882.35      15.72
2021.37   -4929.52      15.63
2021.46   -4916.87      15.78
2021.54   -4959.39      15.72
2021.62   -5109.72      15.63
2021.71   -5159.13      15.78
2021.79   -5202.51      15.73
2021.87   -5200.48      15.72
2021.96   -5153.67      16.60
2022.04   -5126.65      17.49
2022.12   -5114.43      18.42
2022.20   -5085.26      19.33
2022.29   -5098.82      20.33
2022.37   -5090.96      21.00
2022.45   -5074.62      22.03
2022.54   -5177.69      23.16
2022.62   -5292.29      29.32
2022.71   -5339.63      36.25
2022.79   -5326.96      43.88
2022.87   -5248.44      51.61











































































































































































































































































































































































































































































































































































































































































































































































































































































































































